video_id,video_id_str,frame_count,model_nss_mean,model_nss_median,model_auc_judd_mean,model_cc_mean,model_sim_mean,model_kl_mean,baseline_auc_judd_mean,baseline_sim_mean,baseline_kl_mean,beats_auc_chance,beats_sim_baseline,beats_kl_baseline,nss_positive,cc_positive
601,0601,25,1.1452719857123959,1.0058703510374987,0.8500511311708996,0.18411080877604782,0.1377228036468732,2.6234772223208127,0.5083483251752052,0.06853448792881496,3.301178592126891,True,True,True,True,True
602,0602,12,1.9345827701138478,1.9288111823556071,0.9082501263836784,0.3733085807794531,0.24682613129747655,1.7813540938748786,0.4927347357768046,0.10220653839298595,2.8381853680303526,True,True,True,True,True
603,0603,37,0.7144311953315456,0.468801516132026,0.771704264758187,0.14615886206279444,0.17041932975063068,2.53973780119738,0.5259276257820747,0.11047733043002095,2.7541478105703874,True,True,True,True,True
604,0604,25,2.0276519500812937,1.6824097658853416,0.8809478884061792,0.37393972496885675,0.24019929614293162,1.8989603051332258,0.533651778629354,0.08926468385329624,2.9999416060462654,True,True,True,True,True
605,0605,23,2.7042016999963754,2.801684205113831,0.9274958201591764,0.4885405187494051,0.3554493171358425,1.5354190470051332,0.5559467706153128,0.09822822675215691,2.8883290560279438,True,True,True,True,True
606,0606,32,2.0041026627586582,1.9475767160186632,0.8998869495719769,0.3905121515256501,0.2777542545404813,1.7525412740749635,0.5467719629161681,0.09122944450283957,2.994098500331642,True,True,True,True,True
607,0607,27,1.8183779485654339,1.6633876153663214,0.8918216763505222,0.37111646326407866,0.28156317553027416,1.7023533569743368,0.551136885889221,0.11050331669203646,2.75807656434053,True,True,True,True,True
608,0608,26,1.183022765624482,0.8287901862624125,0.83728110386369,0.2554977487780942,0.22648308657326385,2.044749732038816,0.5710154795455067,0.11349516528455801,2.7321102260723586,True,True,True,True,True
609,0609,32,2.5200180889855366,2.4399093161235546,0.9394746567019479,0.49577920202830705,0.31899209572283954,1.4634396778575014,0.531835501120946,0.09245042958562617,2.9262350373824835,True,True,True,True,True
610,0610,15,2.043834422696397,1.8123542091623932,0.9052607452697464,0.3211031930141099,0.23114004806431065,2.0040813098368484,0.5814469587948005,0.08154125666821589,3.2166538446684,True,True,True,True,True
611,0611,25,0.9869113277023414,0.9035593179162852,0.7913467275390456,0.21891391600202414,0.18342750472754624,2.473302181444932,0.5500470707556591,0.09917818459257687,2.9136239044896555,True,True,True,True,True
612,0612,26,1.285568278832436,1.33788770549411,0.8473781392667413,0.2749782551612724,0.21288279512860248,2.102224241230802,0.4838212859451485,0.1005166358294324,2.8712347434673453,True,True,True,True,True
613,0613,19,1.0197886816052746,0.922176959685505,0.8424660456289044,0.22034664625522868,0.2154365312473898,2.1377967517738017,0.5281233325691084,0.11594920071955025,2.7231894226643774,True,True,True,True,True
614,0614,18,1.880123795018327,1.7752397602539887,0.9014894375070883,0.3752188779446395,0.3061080952930366,1.7192248742398466,0.5636030422983186,0.11773379496196225,2.6938708946815124,True,True,True,True,True
615,0615,21,1.084322687223282,1.0131499683927159,0.830224611845167,0.26863968637783886,0.22249844514569447,1.9431563235817986,0.5173797433497968,0.12081856268140664,2.6367593720564435,True,True,True,True,True
616,0616,29,2.1064076662820623,1.8190072764830394,0.9102107113194745,0.45637509408688903,0.3322573277678171,1.545199947944473,0.5475555070761594,0.11975295408074625,2.6963630685694433,True,True,True,True,True
617,0617,27,3.8545123292062704,4.125811789426194,0.95280169186799,0.5677258261475115,0.2891731336395415,1.5293960273998057,0.516466603699345,0.07494723546479708,3.249381351138606,True,True,True,True,True
618,0618,16,0.41483505827096584,0.2841630253745182,0.7269086443529488,0.09504964538223684,0.18569985045955595,2.4785291455349414,0.5356997846842861,0.14086968232512662,2.5132213021031564,True,True,True,True,True
619,0619,11,0.5449222218966429,0.5388311763448883,0.8008082245233279,0.13272720436602203,0.1730400775681984,2.5444947488504903,0.5784549981081986,0.10228136325161617,2.8588283767537477,True,True,True,True,True
620,0620,28,1.0623277989032662,1.157410481974294,0.7992144098063887,0.24284016834681607,0.20876163883455984,2.2249781116734955,0.5534675087983267,0.11727454135811637,2.7314531476094404,True,True,True,True,True
621,0621,14,3.8628714993734077,3.896414826139712,0.9465691430367501,0.6422143354685925,0.34060505751417663,1.3657662592437467,0.5361998051816653,0.08582884984666549,3.077131309029016,True,True,True,True,True
622,0622,9,2.233043267917304,2.6521378314920168,0.9273569368537176,0.40585624513610846,0.27440725209148387,1.7281689998095002,0.5905096079622232,0.08354587334679493,3.01343678620223,True,True,True,True,True
623,0623,28,1.9481680326896018,1.8961026738286755,0.9080282021546812,0.39751975215770213,0.32421711195498926,1.6216884816376766,0.5637752680325415,0.1043238260311938,2.7919123888639925,True,True,True,True,True
624,0624,24,1.6616962917487763,1.5705214633338906,0.8564528524671209,0.33793937749187436,0.2687787464030294,1.96923299007055,0.5569023918270801,0.10691570059330213,2.8313330682498985,True,True,True,True,True
625,0625,18,1.1792934035219458,1.172108737495886,0.8555279381073231,0.2081121670145812,0.18606076962204446,2.269355249151324,0.5468798910714735,0.08931134370760326,3.0263923149733634,True,True,True,True,True
626,0626,10,0.8083949793734522,1.118106558297983,0.73303110881961,0.14113115648986488,0.13712179492909926,3.1126767021575548,0.4866047874869877,0.09228507164273964,3.0611931934114027,True,True,False,True,True
627,0627,21,1.590343560689392,1.7062043264871865,0.8841859086715752,0.35033965658219474,0.26031399078215883,1.7708270336146985,0.5144679899373638,0.11644810339260009,2.731369375609856,True,True,True,True,True
628,0628,25,1.8708835170443445,1.7908901933650172,0.9116663459483137,0.3743873600531119,0.27652253661492066,1.6840302004097005,0.5384012090733946,0.10470637116667236,2.8407878979191623,True,True,True,True,True
629,0629,33,0.5004822372247775,0.522667649636856,0.7946671299123069,0.0934335596192584,0.1311076255495639,2.7684794681460896,0.5522286474142104,0.08397395113253332,3.1097713265703044,True,True,True,True,True
630,0630,32,2.196741117841138,2.0508104091496078,0.9216846986597838,0.4446906931692023,0.30650377344270363,1.544670901934345,0.5316331222801259,0.09933483815277375,2.845880089875428,True,True,True,True,True
631,0631,29,2.6351347808637593,2.4724966686141325,0.9272557880573884,0.4860450339840191,0.30981091300746344,1.5430311155810217,0.5340638095090878,0.10009052944997773,2.973651458701233,True,True,True,True,True
632,0632,25,1.8997699935978818,1.8007972916702737,0.8705405734368179,0.39417134831756473,0.27375854412488104,1.8147331861046672,0.5466714190464689,0.1126605338687504,2.7545490108146296,True,True,True,True,True
633,0633,20,3.284577755320504,3.2075492385497313,0.9667484260227528,0.5028266306810062,0.273047047059807,1.5754144047309027,0.5262187644892403,0.07958907466732015,3.149690470611062,True,True,True,True,True
634,0634,31,2.696466074528944,2.5902525744753344,0.9228733739450461,0.4755286280818294,0.2781941030871014,1.7015126484686174,0.5414594234247843,0.08807925237955336,3.0482488521092708,True,True,True,True,True
635,0635,26,1.2531053378973145,0.5956084586336906,0.8174997313253726,0.20428563573218828,0.17446816304173798,2.403227237289935,0.5483208616809689,0.09739541604304998,2.981851299068599,True,True,True,True,True
636,0636,18,3.872294583171646,4.012394621453482,0.9007386955575741,0.6681143812850469,0.35667331987447176,1.4458998677386161,0.5004846937882403,0.09194420462203416,3.045116308617516,True,True,True,True,True
637,0637,22,1.2332627240491059,1.301043909567158,0.8523677883533153,0.2535221114973861,0.23008574563714312,1.963553900182962,0.5326200501290423,0.1126172258925331,2.748561484690304,True,True,True,True,True
638,0638,16,0.05680782247052146,-0.06114985660375372,0.6908962177374935,0.014536907480390597,0.086905341270829,3.459450952569362,0.5518801843655714,0.07606052325007409,3.3085293283763617,True,True,False,True,True
639,0639,18,2.1268350243745333,2.0648391546427827,0.930702111341317,0.40066588751765053,0.24011548602130806,1.7474348624540574,0.5335346896090326,0.08302694775396871,3.032755947613215,True,True,True,True,True
640,0640,16,1.8789044952764238,2.0536164177225675,0.8838120740321329,0.33347040231134195,0.21436002436884388,2.115534405843305,0.5478185557918134,0.08229244663305868,3.1475368364567418,True,True,True,True,True
641,0641,14,0.7100501971079524,0.8128914456835113,0.7910572316979035,0.1741814355441815,0.18942017790201907,2.296226753330552,0.5244524684248725,0.12135523425398562,2.6826746510437762,True,True,True,True,True
642,0642,20,1.8429555347188535,1.8070561893341281,0.8587061740244565,0.40088194111549924,0.29880697615410123,1.773736889699173,0.4850254728541257,0.11931766238451147,2.663380870410204,True,True,True,True,True
643,0643,28,2.927595898176668,2.9186607858815377,0.9108649828501812,0.5325737161439734,0.334110926522159,1.5597455552558424,0.5630846670371487,0.09400605720259704,2.959408334759818,True,True,True,True,True
644,0644,31,1.9152766922349171,1.8806236537817267,0.8891563213061502,0.3684989797376682,0.25435996357485446,1.9011272044739114,0.5720494868246304,0.10395289724050712,2.8866043217662543,True,True,True,True,True
645,0645,21,1.4508886851314706,1.3072939499592349,0.8518333052114041,0.24390545187532536,0.1821780428714532,2.500783765473309,0.5618495659136722,0.08858373777500146,3.0635937038493624,True,True,True,True,True
646,0646,11,1.4280901971564488,1.303828132284971,0.8795194506390334,0.2286724815562411,0.167765472231538,2.311473699933781,0.5436979154199352,0.07069410054971803,3.29260531659033,True,True,True,True,True
647,0647,11,1.3997763931606628,1.5108109087436474,0.860777683792923,0.30544558542338573,0.23925521758221754,2.032335631245884,0.5224921254446596,0.10517093435149066,2.812592255206085,True,True,True,True,True
648,0648,29,1.1156896535427645,0.9436734730605619,0.8536033397992083,0.22753822688560388,0.2047645567280408,2.370823167124081,0.54051310904672,0.09354172090278856,2.9990420495671404,True,True,True,True,True
649,0649,19,2.687140254128312,2.7210644966183115,0.9188180030289801,0.49507696146000074,0.2721521387842959,1.6930858257371149,0.5088920944038283,0.0995481820865124,2.9735221189160845,True,True,True,True,True
650,0650,28,0.7794745665892594,0.6442831769769533,0.8138405048927545,0.17528503555550246,0.19344349314021533,2.2526600173559186,0.558360918298381,0.11996422490805646,2.7152759162215356,True,True,True,True,True
651,0651,40,1.3550290212307743,1.2224168552265757,0.844222163492016,0.2705388777167069,0.23282536057122724,2.125728029302496,0.5505185802610835,0.11286921076972171,2.7848012823283064,True,True,True,True,True
652,0652,20,1.8787527905295636,1.7133852637732134,0.8843029468708018,0.38456829637353246,0.2686967353551683,1.784544475372432,0.5262655506445878,0.09782586238030126,2.8712629813904433,True,True,True,True,True
653,0653,17,1.2722935995027258,1.330462693059072,0.8481866997815363,0.2666417123230107,0.2382287204225132,2.0338940015023885,0.5364897910278197,0.11856029363030993,2.706611856363136,True,True,True,True,True
654,0654,15,2.290609319571186,2.2868445831916864,0.931343202671283,0.41074031154711743,0.24583744583547595,1.876465461548945,0.539751438520874,0.09206947052095892,3.035169610181834,True,True,True,True,True
655,0655,17,1.1332342231381463,0.8967010594154414,0.8889095058615766,0.22161276204532288,0.22860696388208415,2.129109161373481,0.5085663098578199,0.0957573399703897,2.9451727483867436,True,True,True,True,True
656,0656,14,0.7601127958956241,0.7740285642649395,0.7546696735216597,0.20514908973077614,0.25146310515356574,2.1701524068023668,0.5404275277847317,0.15871479006171008,2.346293179054117,True,True,True,True,True
