temporal_quartile,model_nss_mean,model_nss_median,model_nss_std,model_auc_judd_mean,model_auc_judd_median,model_kl_mean,model_kl_median,model_cc_mean,model_cc_median,model_sim_mean,model_sim_median,baseline_auc_judd_mean,baseline_kl_mean,baseline_sim_mean
1,1.5875510195273428,1.4443875428581603,1.101029095846988,0.860260855343592,0.8726274073559062,1.9794881661371864,1.8809455980018177,0.31782612807664723,0.31599734045833433,0.249878785673122,0.24853900601842768,0.5355990643133268,2.8046418446644616,0.10990848813347408
2,1.6552583137372445,1.493879139736324,1.1627217807999928,0.8686866418679265,0.8873560033193588,2.0267606223903254,1.9810814131148424,0.315115955792603,0.3052036460094373,0.23773171451748426,0.23588117674876294,0.5385921838676685,2.903495347340224,0.09969730409835599
3,1.8331883398818258,1.575346363077343,1.3176607246352803,0.880256670317526,0.8978955970037759,1.955130795596138,1.8932850873929041,0.3378720594745678,0.32190582426729014,0.24727482706844195,0.23567603190966901,0.5443009465560391,2.909136959541052,0.09985102021422336
4,1.858496603425209,1.7430856037555984,1.2539403709718324,0.8770061102661956,0.9016461762867263,1.970741458483383,1.8660900033504715,0.3441976704016966,0.3447380829860079,0.2445040927419307,0.23848297882044445,0.5471892534528278,2.95092245565542,0.09658086784356704
