feature,pearson_r_nss,raw_p_nss,spearman_rho_nss,spearman_p_nss,pearson_r_kl,raw_p_kl,spearman_rho_kl,spearman_p_kl,fdr_q_nss,significant_nss_fdr,fdr_q_kl,significant_kl_fdr
motion,-0.08894020467789181,5.38215337964462e-05,-0.0693211950111157,0.0016602285897673848,0.0965424449312633,1.159212201310506e-05,0.08724571333497645,7.459171110916391e-05,0.0003229292027786772,True,6.955273207863037e-05,True
contrast,-0.03220541388943304,0.14434916052250185,-0.03079563657881094,0.162758887833511,0.07680391593515848,0.0004911047579316911,0.08882974840439228,5.4988434824770655e-05,0.21652374078375278,False,0.0009822095158633821,True
brightness,0.05513596417436359,0.012404642252162548,0.03881062169864118,0.07851163965444294,-0.047896844506044076,0.029876879684976456,-0.04748094485111773,0.03133126639048028,0.024809284504325096,True,0.04481531952746468,True
visual_complexity,0.011829758436719861,0.5918957316979782,0.011985720990786692,0.587020210145565,-0.021854153887681582,0.32195347218312725,-0.03760177385370142,0.0882787082694211,0.5918957316979782,False,0.38634416661975274,False
text_score,-0.012582662709095058,0.5685332467440843,-0.0323374099186008,0.14271063129743572,0.08175063577382291,0.0002066148812922165,0.10239551823831669,3.281844079563778e-06,0.5918957316979782,False,0.0006198446438766495,True
face_count,0.08117430580450605,0.0002291153618794969,0.061326694313541444,0.005407966989858445,0.0031161081522955185,0.8877052063776524,-0.003990587698217192,0.8564959597194639,0.0006873460856384908,True,0.8877052063776524,False
