video_id,model_nss_count,model_nss_mean,model_nss_median,model_nss_std,model_auc_judd_mean,model_auc_judd_median,model_kl_mean,model_kl_median,model_kl_std,model_cc_mean,model_cc_median,model_sim_mean,model_sim_median,baseline_nss_mean,baseline_auc_judd_mean,baseline_kl_mean
0601,4,0.9756393555834817,1.0217536705357588,0.6123867897652406,0.8557096974759231,0.877190441247895,2.688334698874887,2.7129428123738513,0.39803748661017824,0.1817505557225835,0.19982148241537165,0.12730876170654984,0.1273761935345919,0.0,0.5149542496576948,3.4500265131642887
0602,4,1.7914039550230214,1.957469789415598,0.7511399774800392,0.8969119377874297,0.9012432298117277,1.6933992153929798,1.631302546850916,0.2542932871720047,0.3741745383656796,0.4200266924394457,0.25011281701513205,0.2472103787537796,0.0,0.5146342481211633,2.7649321032061396
0603,4,0.18179760380691312,0.101015637952543,0.43453017795713283,0.714606110659052,0.7000838973708596,2.8202899780318034,2.7795985915347083,0.6681636672231114,0.06518666832912243,0.041922883342513005,0.14332285775997827,0.13719691114079424,0.0,0.5217128897695265,2.7196820975660665
0604,4,2.02601198802982,1.64671536542336,1.3549476171283439,0.9008778414268468,0.8952502189806656,1.6703696516888087,1.6773201389258876,0.3110331419005671,0.4461613930228026,0.4182109053466757,0.29400587290287244,0.2829338855601977,0.0,0.5510100234856158,2.9370844999503016
0605,4,1.9686443660805653,2.1720360538084447,1.3083146772744023,0.8939047700055677,0.8999848427672927,1.5846753915808705,1.5516378212162374,0.25827260647782024,0.3871813639204953,0.42841740650911764,0.3377892586332346,0.3581611141527277,0.0,0.5700422228580119,2.551301741443398
0606,4,2.19087999541676,1.9610762753595599,0.5673893472180039,0.9233397279491263,0.9268431482975463,1.6883040589702374,1.7949667154723286,0.36533436157755034,0.3999191838287282,0.3602996075617585,0.26987639057762525,0.25888892473823166,0.0,0.476752434697368,3.0270886352413164
0607,4,2.28743756864666,2.427468559173506,0.8016347756992247,0.9123003359081069,0.9122080976413911,1.515637404610539,1.5257288398020146,0.17639235102665363,0.436028236452279,0.45484996946046696,0.3284700363996335,0.337687053474101,0.0,0.5186244134579051,2.7104682368720825
0608,4,0.995625166536173,1.1628316612219878,0.7123740820520073,0.7742212222116437,0.865307516324052,1.9330498733543469,1.7423548410065974,0.5224265529056904,0.2903322372593845,0.28091831904185316,0.25121543330331403,0.26095014772891717,0.0,0.43062657633056156,2.5997189779144545
0609,4,2.0162068939864364,2.044516894042594,1.193966268382938,0.9166451376009257,0.9229111788632239,1.7291924364155058,1.9033756638355954,0.6582971457799265,0.4192549231345611,0.3585178702518747,0.2816660496008328,0.2539707930243819,0.0,0.6664901129932028,2.959218102682534
0610,4,1.5590530856160956,1.290090266060607,1.0572381567206,0.9006696225000715,0.8903890336219892,2.002334381819937,1.9360872425019373,0.39977921277151074,0.27576641835236765,0.31030528877026253,0.20831663279168505,0.199671659257037,0.0,0.5645208298277231,3.0668586458950133
0611,4,0.6680146352655657,0.6911743126507306,0.9871114193539259,0.736447037445456,0.7887551002208941,2.822029732256418,2.2050000602190956,1.4923969210477541,0.16903151947646056,0.18563524835281422,0.15966690408011353,0.1947837017911165,0.0,0.5634917361857119,2.85872589262752
0612,4,1.0562442495117055,0.6804040667944903,1.1366656039848113,0.8223508472787092,0.8208244579371884,2.2225639060616142,2.0946043221294297,0.6130775336106999,0.20461577754896326,0.15951156426292346,0.19815255210738636,0.21856615145189134,0.0,0.5169136375536146,2.8745755361029453
0613,4,0.775950586585007,0.680611299315414,0.39161304624618815,0.8424807917121342,0.8527691814653777,2.397882360973136,2.4802171902355052,0.42472441715384995,0.19250814826583124,0.15970613225221625,0.1822924346136247,0.1619447523757251,0.0,0.48489702171476634,2.9781057508156996
0614,4,1.9058336333351575,1.2928752450084833,1.7034730315765598,0.8996650202697657,0.9001839693067393,1.4921782169110622,1.4997793312768293,0.28849080976096214,0.4845874820727706,0.43512905345886244,0.3181061894429492,0.3137589254381993,0.0,0.578815246138576,2.78331980729933
0615,4,1.1549982916804538,1.0451201864733812,0.2678184691875548,0.8406571345003246,0.8391031917890461,2.0252731918744313,2.0452477485476126,0.16460576788298215,0.24633457258666103,0.2490784279199419,0.20158063347701638,0.20616281178610832,0.0,0.5337040392839637,2.7123301744552872
0616,4,1.8518986087637421,1.7028330777753857,0.9948142960547062,0.8934758795435292,0.8883654512866586,1.5499461927175877,1.6312434927428012,0.40945471072277356,0.42408630834311817,0.39902785130911467,0.32433082443715966,0.30920769285294813,0.0,0.5331195928933361,2.6571455353991627
0617,4,3.9171827704416056,4.170214067426926,0.9262030858723641,0.9704627553942323,0.9744930052158489,1.6058988237526721,1.6530064183205038,0.42460165913371034,0.5657948993789675,0.536721110139917,0.27014529217819205,0.24753349090223842,0.0,0.49857235775130726,3.471906235343699
0618,4,0.3368463421385931,0.28064444329749694,0.4052816082067237,0.7035717333654029,0.7095725654975258,2.328910998669708,2.3141664707550174,0.36996934003830984,0.12386478976984558,0.10283309499629847,0.19128810662812723,0.20271484790476585,0.0,0.5286788197081194,2.441421008420117
0619,4,0.41224046679618365,0.41394716255966196,0.31325107868601465,0.8134730840833078,0.8148973147190339,2.660282473718996,2.688974636490806,0.41245686320328534,0.07186633748219966,0.0788985083009668,0.1455809409359625,0.14146034476231564,0.0,0.5464992095888107,2.837833101664049
0620,4,0.8297849707160891,0.9652760632680246,0.46087219081934494,0.7771594640248459,0.7999468478786629,2.0991975143291732,2.0013869749406337,0.2895631350440239,0.23047677320589982,0.2414383979925214,0.2299659438396511,0.21146234234583444,0.0,0.530533093436229,2.518897577708332
0621,4,4.1545514047261545,4.404042446023768,0.9249600158174763,0.9755324694809169,0.9755021102106438,1.415668236985235,1.447136378780539,0.10512887620453065,0.6709157754018529,0.6719039284157085,0.31325116298140554,0.31960211450310905,0.0,0.5447845701430154,3.2794184201888745
0622,4,1.8504980598302014,1.552725947193918,0.8794060170226107,0.9225366345102384,0.9233502896429917,1.6735362901256947,1.7749007443755596,0.43641487792361977,0.415855831116646,0.4095051170712297,0.28850662377620245,0.28889590640152807,0.0,0.5821653595020326,2.959727527561089
0623,4,2.1654194058247174,2.13134848162721,0.21717269776683365,0.9268906008663318,0.928736324400281,1.5105936127418373,1.474111612738084,0.13205409408337632,0.41285590372964354,0.4207313790164314,0.31869184980141635,0.3182208139248072,0.0,0.5384040405174754,2.8347263619673986
0624,4,0.8381465034630682,0.6970340523406853,0.4746828802450708,0.8505389738997361,0.8667415556748357,2.1536593369813524,2.1804980965137144,0.309380854142875,0.18492014451510577,0.16071359389419504,0.20875946073362878,0.20649462870122973,0.0,0.5081238460838186,2.6789978150097267
0625,4,0.6335457851259763,0.5366266558718948,0.3433847019038566,0.8203663234431043,0.8220485830213072,2.269104368128202,2.3341370498821417,0.27247256233497247,0.18954180103726276,0.18358636792727462,0.17829051449588873,0.18115528890753663,0.0,0.5706216356454011,2.996013498569063
0626,4,0.47526428113479735,0.15698606738263052,1.0452489526050999,0.6723233376323022,0.6841687616911771,3.092791266812066,3.2124208130421863,0.8198088849262134,0.10112680553445799,0.04594823630310119,0.13000908934668776,0.1099333925165554,0.0,0.5882567705736007,2.9650279227085905
