video_id,valid_window_count,target_mean,target_std,pred_mean,pred_std,mae,rmse,r2,pearson_r,pearson_p,spearman_rho,spearman_p,bias,correlation_reliable
DHF1K_635,50,0.834,0.0597,0.8491,0.0043,0.0481,0.0605,-0.03,0.2722,0.05582791965235359,0.2549,0.07402543689720838,0.0151,True
DHF1K_669,38,0.8629,0.0514,0.8445,0.0075,0.0483,0.0564,-0.2022,-0.1815,0.275552597706071,-0.1085,0.5168948452561408,-0.0184,True
DHF1K_688,51,0.8154,0.0639,0.8392,0.0022,0.0484,0.0679,-0.1286,0.1603,0.26126208431978165,0.2255,0.11153249937752975,0.0238,True
DHF1K_697,38,0.8399,0.057,0.8442,0.0048,0.0485,0.0574,-0.0114,0.0092,0.9562418947842839,0.0449,0.7890562029670986,0.0043,True
DHF1K_644,61,0.83,0.0588,0.8381,0.0042,0.049,0.0584,0.0107,0.2413,0.06106493192681406,0.203,0.11661304100696868,0.0081,True
DHF1K_699,76,0.845,0.0558,0.8379,0.0024,0.0491,0.0565,-0.0256,-0.0928,0.4252190247888942,-0.1283,0.2693782302814888,-0.007,True
DHF1K_619,20,0.8273,0.06,0.8321,0.0017,0.0491,0.0598,0.0037,0.1945,0.4112744779733569,0.1958,0.4080992405908189,0.0048,True
DHF1K_668,16,0.8143,0.0426,0.8488,0.0084,0.0494,0.0583,-0.8712,-0.4486,0.08137073127910611,-0.3853,0.14054417737367633,0.0345,True
DHF1K_610,29,0.845,0.0627,0.8469,0.0037,0.0496,0.063,-0.0082,-0.0318,0.8698321418126792,-0.0719,0.7108225942934956,0.0019,True
DHF1K_674,50,0.8793,0.0485,0.8501,0.0056,0.0506,0.0576,-0.4124,-0.1546,0.283767370059254,-0.1372,0.3421544792053063,-0.0292,True
DHF1K_651,79,0.8278,0.0637,0.8433,0.005,0.0508,0.0663,-0.0807,-0.1007,0.3771987397529742,-0.1248,0.2730002332376086,0.0154,True
DHF1K_673,17,0.8532,0.0584,0.8427,0.0026,0.0511,0.0598,-0.0499,-0.1774,0.4957497936212661,-0.1103,0.6734589975422938,-0.0105,True
DHF1K_606,62,0.8404,0.0602,0.8402,0.0037,0.0513,0.0611,-0.0316,-0.2255,0.07803114795349632,-0.1034,0.4238532637796039,-0.0002,True
DHF1K_629,64,0.8723,0.0578,0.8499,0.0034,0.0515,0.0622,-0.1614,-0.068,0.5932041435415683,-0.0058,0.9639061919588608,-0.0224,True
DHF1K_692,85,0.8657,0.0574,0.8413,0.0045,0.0516,0.0626,-0.1876,-0.0041,0.9701175242188275,0.0896,0.4148325318857845,-0.0244,True
DHF1K_643,54,0.8087,0.0561,0.8397,0.0015,0.0518,0.0638,-0.2921,0.2681,0.04997571009008385,0.189,0.17113315970473064,0.031,True
DHF1K_617,53,0.8877,0.0381,0.8429,0.0109,0.0538,0.0613,-1.5857,-0.2111,0.12913419149256214,-0.1974,0.1566003481806051,-0.0448,True
DHF1K_657,35,0.8616,0.042,0.814,0.0079,0.055,0.0628,-1.2382,0.2322,0.17942774571871864,0.208,0.23052439311385634,-0.0477,True
DHF1K_663,35,0.7868,0.0473,0.835,0.0042,0.0567,0.0672,-1.0175,0.1549,0.3743804280279071,0.1362,0.43545928195301015,0.0482,True
DHF1K_664,38,0.8797,0.0498,0.8385,0.004,0.0572,0.0645,-0.6746,0.0893,0.593945924281493,0.0123,0.9417671599781687,-0.0412,True
DHF1K_621,27,0.8698,0.0505,0.827,0.0062,0.0574,0.0664,-0.7302,0.0166,0.9346885150578197,-0.0351,0.8619599160616278,-0.0428,True
DHF1K_662,46,0.7954,0.0531,0.8402,0.0081,0.0578,0.0704,-0.7573,-0.073,0.6295245220383594,-0.1103,0.46537545876529246,0.0448,True
DHF1K_687,46,0.7897,0.0437,0.8372,0.0023,0.0579,0.0643,-1.1719,0.1859,0.21622363901054029,0.2047,0.17243693243344238,0.0476,True
DHF1K_620,56,0.7954,0.0667,0.842,0.0016,0.0609,0.0812,-0.4841,0.0879,0.5196131148664236,0.0008,0.9956092370230644,0.0466,True
DHF1K_654,28,0.8871,0.0488,0.8429,0.0046,0.0613,0.0669,-0.8767,-0.2553,0.18977208741625956,-0.2072,0.2900829351264523,-0.0442,True
DHF1K_639,35,0.9019,0.0325,0.8428,0.0026,0.0623,0.0666,-3.2131,0.6531,2.1136739014098515e-05,0.7204,1.0629421582487675e-06,-0.0591,True
DHF1K_622,16,0.9078,0.0228,0.8454,0.0036,0.0623,0.0666,-7.5356,-0.1131,0.6765995067785447,-0.0832,0.7593195448561195,-0.0623,True
DHF1K_700,28,0.8021,0.0697,0.8398,0.0024,0.0626,0.0783,-0.2638,0.4386,0.019569084884357272,0.4488,0.01659621340925046,0.0377,True
DHF1K_618,31,0.7884,0.05,0.8499,0.0035,0.0649,0.0794,-1.5248,-0.0454,0.808250424809474,-0.0853,0.6481151556618554,0.0615,True
DHF1K_677,50,0.8883,0.055,0.8419,0.0025,0.0652,0.0725,-0.7351,-0.2334,0.10279157580828199,-0.1855,0.19719494403879928,-0.0465,True
DHF1K_680,30,0.7869,0.0558,0.8381,0.004,0.0654,0.0761,-0.8586,-0.0906,0.6339605320759423,-0.1226,0.5186302319392551,0.0512,True
DHF1K_636,34,0.8015,0.068,0.829,0.0017,0.0657,0.0732,-0.1611,0.0633,0.7219329896215454,0.0993,0.5761478226565635,0.0275,True
DHF1K_613,36,0.7932,0.0622,0.8451,0.0073,0.0671,0.083,-0.7791,-0.2983,0.07718895394238809,-0.3042,0.07124052415793791,0.0519,True
DHF1K_601,49,0.8966,0.0408,0.8344,0.0026,0.0673,0.0744,-2.3183,0.0629,0.6674782670058907,-0.0137,0.9256613877684421,-0.0622,True
DHF1K_642,39,0.7676,0.0514,0.8386,0.0017,0.0718,0.0876,-1.9062,0.0904,0.5842594602770618,0.0383,0.8170107695985854,0.071,True
DHF1K_667,36,0.7709,0.0611,0.8287,0.0124,0.0721,0.0887,-1.1086,-0.4224,0.010282748496600547,-0.4248,0.009800903559726392,0.0578,True
DHF1K_638,30,0.852,0.0819,0.8404,0.0013,0.0758,0.0828,-0.0227,-0.0723,0.7043490448847861,0.1588,0.40184080573891845,-0.0116,True
DHF1K_626,19,0.7662,0.0925,0.8491,0.0069,0.1004,0.1211,-0.7157,0.6255,0.004183942375402595,0.5719,0.010510758441862313,0.0829,True
